iter	Logloss
0	0.6531084806
1	0.6188941431
2	0.5942871195
3	0.5723621496
4	0.546708738
5	0.5352545316
6	0.5180704249
7	0.4996270279
8	0.4904145334
9	0.4785195975
10	0.4672663879
11	0.4605470179
12	0.4496482086
13	0.4378873789
14	0.428144026
15	0.4228202274
16	0.4184856528
17	0.4100206956
18	0.404255659
19	0.3997580337
20	0.3931352163
21	0.386552682
22	0.38047842
23	0.3774149104
24	0.3740082529
25	0.3715657243
26	0.370410058
27	0.3666908423
28	0.3649276496
29	0.3620668114
30	0.3585976584
31	0.3567578988
32	0.3551105212
33	0.3524463593
34	0.3500392147
35	0.3476141935
36	0.3454092418
37	0.3427986015
38	0.3411229
39	0.3402696489
40	0.3385418856
41	0.336031102
42	0.3348615297
43	0.3331098442
44	0.331334719
45	0.3303237595
46	0.3284137336
47	0.3274749823
48	0.3260935695
49	0.3249964166
50	0.3217809936
51	0.3213443085
52	0.3197180145
53	0.3186722048
54	0.3174683589
55	0.3162719987
56	0.3144720829
57	0.3133321776
58	0.3121118894
59	0.3110202031
60	0.309438897
61	0.3086016788
62	0.3075887124
63	0.306982938
64	0.3059270956
65	0.304700934
66	0.3036191697
67	0.3029975599
68	0.3017238371
69	0.300955069
70	0.3002896419
71	0.2994410667
72	0.298964976
73	0.297983084
74	0.2978180081
75	0.2973268639
76	0.2963705528
77	0.2954544426
78	0.2952322454
79	0.2951622933
80	0.2948547591
81	0.2941986732
82	0.2933228342
83	0.2920689583
84	0.2918273776
85	0.2911899831
86	0.2899125791
87	0.2891383955
88	0.2885765621
89	0.287993027
90	0.2875290986
91	0.2872293288
92	0.2869704379
93	0.286111276
94	0.2854757968
95	0.2851707353
96	0.2845034631
97	0.2838337116
98	0.2837216997
99	0.2836385211
100	0.2824984391
101	0.2819298857
102	0.2808586933
103	0.279226366
104	0.2787370374
105	0.2776713631
106	0.2773262491
107	0.2771245435
108	0.276520577
109	0.2761844674
110	0.2749310718
111	0.2729536814
112	0.2721961419
113	0.2720777624
114	0.271408089
115	0.271341271
116	0.2707740302
117	0.2704398639
118	0.269817318
119	0.2695683448
120	0.269304541
121	0.2686061192
122	0.2682305188
123	0.2674826513
124	0.2665146527
