iter	Passed	Remaining
0	27	27255
1	49	24506
2	74	24740
3	97	24368
4	119	23713
5	138	23019
6	158	22503
7	175	21753
8	193	21359
9	211	20970
10	230	20742
11	242	19981
12	259	19670
13	279	19683
14	297	19520
15	314	19315
16	332	19236
17	351	19175
18	371	19163
19	390	19117
20	408	19066
21	426	18938
22	444	18886
23	463	18859
24	484	18908
25	505	18925
26	519	18733
27	539	18717
28	559	18717
29	578	18711
30	603	18858
31	626	18948
32	648	19015
33	672	19096
34	698	19268
35	722	19357
36	747	19458
37	770	19515
38	795	19591
39	820	19700
40	842	19702
41	862	19680
42	884	19694
43	905	19681
44	927	19687
45	952	19754
46	976	19804
47	998	19796
48	1020	19812
49	1043	19831
50	1070	19914
51	1104	20138
52	1132	20233
53	1157	20273
54	1183	20332
55	1206	20341
56	1228	20331
57	1254	20379
58	1275	20347
59	1296	20316
60	1317	20285
61	1339	20257
62	1360	20229
63	1382	20221
64	1405	20215
65	1425	20178
66	1448	20171
67	1471	20161
68	1491	20124
69	1512	20096
70	1534	20072
71	1556	20057
72	1578	20039
73	1600	20033
74	1614	19909
75	1634	19875
76	1656	19858
77	1680	19861
78	1696	19780
79	1708	19647
80	1723	19557
81	1746	19557
82	1768	19539
83	1789	19516
84	1807	19460
85	1831	19463
86	1852	19445
87	1876	19450
88	1898	19434
89	1920	19415
90	1944	19419
91	1966	19405
92	1984	19352
93	2005	19329
94	2028	19321
95	2051	19318
96	2073	19306
97	2095	19283
98	2104	19148
99	2121	19096
100	2141	19062
101	2159	19013
102	2178	18968
103	2196	18924
104	2215	18885
105	2237	18868
106	2254	18817
107	2264	18704
108	2282	18657
109	2300	18615
110	2318	18568
111	2336	18526
112	2357	18504
113	2376	18472
114	2395	18431
115	2413	18390
116	2433	18365
117	2452	18330
118	2469	18283
119	2487	18241
120	2506	18209
121	2525	18172
122	2543	18137
123	2561	18099
124	2581	18067
125	2598	18023
126	2616	17982
127	2634	17947
128	2655	17927
129	2675	17905
130	2694	17871
131	2711	17832
132	2730	17796
133	2747	17753
134	2764	17716
135	2782	17677
136	2796	17614
137	2812	17569
138	2830	17530
139	2848	17498
140	2866	17464
141	2886	17443
142	2898	17371
143	2908	17288
144	2925	17251
145	2943	17216
146	2959	17174
147	2977	17142
148	2988	17070
149	3007	17044
150	3023	17000
151	3042	16973
152	3061	16950
153	3082	16933
154	3161	17235
155	3192	17271
156	3210	17237
157	3231	17219
158	3252	17202
159	3274	17192
160	3298	17189
161	3323	17193
162	3348	17196
163	3358	17120
164	3382	17117
165	3411	17140
166	3434	17131
167	3458	17126
168	3479	17111
169	3502	17101
170	3526	17094
171	3548	17083
172	3570	17068
173	3594	17061
174	3617	17052
175	3640	17043
176	3660	17022
177	3682	17005
178	3700	16973
179	3719	16946
180	3740	16924
181	3759	16895
182	3778	16869
183	3798	16844
184	3816	16814
185	3835	16784
186	3854	16756
187	3872	16727
188	3891	16698
189	3909	16665
190	3927	16637
191	3949	16619
192	3967	16588
193	3985	16559
194	4018	16588
195	4036	16559
196	4056	16533
197	4077	16514
198	4097	16494
199	4116	16466
200	4135	16437
201	4154	16411
202	4176	16396
203	4201	16395
204	4227	16393
205	4254	16396
206	4275	16380
207	4301	16378
208	4324	16365
209	4355	16385
210	4380	16380
211	4404	16371
212	4430	16369
213	4449	16342
214	4468	16316
215	4487	16288
216	4507	16264
217	4527	16241
218	4544	16207
219	4563	16180
220	4584	16158
221	4603	16133
222	4622	16106
223	4642	16083
224	4662	16060
225	4681	16034
226	4699	16002
227	4716	15971
228	4735	15942
229	4755	15920
230	4772	15889
231	4791	15861
232	4811	15839
233	4831	15815
234	4849	15787
235	4867	15757
236	4885	15727
237	4903	15699
238	4921	15672
239	4940	15644
240	4958	15615
241	4976	15587
242	4995	15563
243	5015	15539
244	5034	15514
245	5052	15485
246	5073	15466
247	5092	15442
248	5113	15422
249	5136	15410
250	5156	15387
251	5174	15360
252	5193	15332
253	5213	15311
254	5234	15293
255	5252	15266
256	5270	15236
257	5287	15207
258	5306	15183
259	5324	15153
260	5342	15127
261	5362	15104
262	5382	15084
263	5400	15055
264	5418	15029
265	5441	15013
266	5469	15015
267	5493	15004
268	5517	14992
269	5543	14987
270	5570	14985
271	5593	14971
272	5617	14960
273	5642	14950
274	5666	14938
275	5686	14917
276	5708	14899
277	5733	14891
278	5754	14870
279	5776	14853
280	5800	14841
281	5823	14827
282	5845	14810
283	5867	14792
284	5888	14773
285	5914	14765
286	5934	14743
287	5956	14724
288	5978	14707
289	6000	14690
290	6021	14670
291	6043	14654
292	6065	14636
293	6087	14617
294	6108	14598
295	6131	14583
296	6151	14561
297	6174	14544
298	6196	14527
299	6218	14508
300	6241	14495
301	6263	14475
302	6284	14456
303	6309	14445
304	6332	14429
305	6354	14412
306	6378	14398
307	6402	14384
308	6424	14367
